epoch,train_loss,val_loss,train_dice,val_dice,lr
1,1.7295,1.6290,0.0263,0.0278,1.000000e-04
2,1.5358,1.4619,0.0777,0.1187,9.997557e-05
3,1.3824,1.3288,0.1534,0.1694,9.990232e-05
4,1.2701,1.2352,0.2124,0.2308,9.978032e-05
5,1.1864,1.1627,0.2517,0.2169,9.960968e-05
6,1.1253,1.1111,0.2832,0.2549,9.939057e-05
7,1.0802,1.0720,0.3000,0.3148,9.912322e-05
8,1.0426,1.0478,0.3223,0.2624,9.880788e-05
9,1.0140,1.0135,0.1220,0.0004,9.844487e-05
10,0.9893,0.9900,0.0012,0.0001,9.803454e-05
11,0.9641,0.9705,0.0009,0.0000,9.757730e-05
12,0.9440,0.9479,0.0006,0.0000,9.707360e-05
13,0.9199,0.9283,0.0003,0.0000,9.652394e-05
14,0.8985,0.9072,0.0001,0.0000,9.592885e-05
15,0.8809,0.8935,0.0001,0.0000,9.528894e-05
16,0.8593,0.8697,0.0001,0.0000,9.460482e-05
17,0.8433,0.8526,0.0000,0.0000,9.387718e-05
18,0.8271,0.8388,0.0001,0.0000,9.310673e-05
19,0.8126,0.8203,0.0002,0.0000,9.229423e-05
20,0.7955,0.8178,0.0032,0.0000,9.144049e-05
21,0.7824,0.7902,0.0332,0.0073,9.054634e-05
22,0.7693,0.7803,0.0854,0.0355,8.961267e-05
23,0.7549,0.7619,0.1763,0.1710,8.864041e-05
24,0.7428,0.7513,0.2678,0.2455,8.763050e-05
25,0.7329,0.7429,0.3357,0.3063,8.658395e-05
26,0.7210,0.7380,0.3924,0.3521,8.550179e-05
27,0.7102,0.7214,0.4309,0.3959,8.438508e-05
28,0.7004,0.7057,0.4558,0.4458,8.323494e-05
29,0.6919,0.6937,0.4780,0.4549,8.205249e-05
30,0.6831,0.6912,0.4932,0.4740,8.083890e-05
31,0.6754,0.6801,0.5041,0.4635,7.959537e-05
32,0.6652,0.6718,0.5191,0.5077,7.832313e-05
33,0.6561,0.6647,0.5260,0.4890,7.702343e-05
34,0.6522,0.6661,0.5298,0.4738,7.569755e-05
35,0.6469,0.6522,0.5346,0.5159,7.434681e-05
36,0.6421,0.6498,0.5380,0.5192,7.297253e-05
37,0.6362,0.6556,0.5458,0.5071,7.157607e-05
38,0.6306,0.6616,0.5514,0.4884,7.015882e-05
39,0.6260,0.6336,0.5552,0.5160,6.872217e-05
40,0.6205,0.6468,0.5563,0.4839,6.726753e-05
41,0.6193,0.6245,0.5563,0.5218,6.579634e-05
42,0.6127,0.6348,0.5631,0.5049,6.431006e-05
43,0.6089,0.6252,0.5673,0.5294,6.281015e-05
44,0.6082,0.6176,0.5661,0.5215,6.129809e-05
45,0.6029,0.6143,0.5696,0.5298,5.977538e-05
46,0.5963,0.6056,0.5788,0.5378,5.824351e-05
47,0.5908,0.6100,0.5803,0.5272,5.670400e-05
48,0.5869,0.6056,0.5854,0.5371,5.515836e-05
49,0.5842,0.6098,0.5858,0.5279,5.360813e-05
50,0.5817,0.5995,0.5890,0.5424,5.205483e-05
51,0.5787,0.5966,0.5920,0.5397,5.050000e-05
52,0.5732,0.5956,0.5936,0.5415,4.894517e-05
53,0.5708,0.6049,0.5971,0.5231,4.739187e-05
54,0.5731,0.6018,0.5931,0.5254,4.584164e-05
55,0.5657,0.5983,0.6001,0.5339,4.429600e-05
56,0.5632,0.5892,0.6009,0.5458,4.275649e-05
57,0.5623,0.5848,0.6007,0.5430,4.122462e-05
58,0.5577,0.5963,0.6049,0.5232,3.970191e-05
59,0.5553,0.5927,0.6074,0.5330,3.818985e-05
60,0.5501,0.5801,0.6131,0.5509,3.668994e-05
61,0.5486,0.5789,0.6153,0.5478,3.520366e-05
62,0.5485,0.5837,0.6126,0.5360,3.373247e-05
