epoch,train_loss,val_loss,train_dice,val_dice,lr
1,1.6439,1.6102,0.0587,0.0533,1.000000e-04
2,1.5945,1.5926,0.0747,0.0666,9.997557e-05
3,1.5765,1.5782,0.1138,0.1242,9.990232e-05
4,1.5583,1.5613,0.1824,0.2159,9.978032e-05
5,1.5385,1.5443,0.2107,0.2579,9.960968e-05
6,1.5224,1.5287,0.2258,0.2428,9.939057e-05
7,1.5077,1.5164,0.2489,0.2657,9.912322e-05
8,1.4938,1.5025,0.2592,0.3137,9.880788e-05
9,1.4794,1.4887,0.2833,0.2783,9.844487e-05
10,1.4665,1.4757,0.3009,0.3127,9.803454e-05
11,1.4529,1.4656,0.3099,0.3220,9.757730e-05
12,1.4398,1.4525,0.3197,0.3304,9.707360e-05
13,1.4283,1.4389,0.3244,0.3015,9.652394e-05
14,1.4150,1.4306,0.3350,0.3482,9.592885e-05
15,1.4031,1.4169,0.3374,0.3488,9.528894e-05
16,1.3914,1.4037,0.3481,0.3845,9.460482e-05
17,1.3782,1.3921,0.3593,0.3747,9.387718e-05
18,1.3665,1.3775,0.3664,0.3783,9.310673e-05
19,1.3545,1.3673,0.3690,0.3477,9.229423e-05
20,1.3415,1.3598,0.3739,0.3957,9.144049e-05
21,1.3289,1.3457,0.3715,0.3954,9.054634e-05
22,1.3184,1.3465,0.3794,0.3762,8.961267e-05
23,1.3061,1.3348,0.3822,0.3853,8.864041e-05
24,1.2966,1.3082,0.3815,0.3591,8.763050e-05
