epoch,train_loss,val_loss,train_dice,val_dice,lr
1,1.6264,1.6260,0.1612,0.1026,1.000000e-04
2,1.5710,1.6002,0.2532,0.1332,9.997557e-05
3,1.5413,1.5795,0.2920,0.1529,9.990232e-05
4,1.5089,1.5581,0.3435,0.1856,9.978032e-05
5,1.4829,1.5355,0.3687,0.2306,9.960968e-05
6,1.4563,1.5163,0.3887,0.2091,9.939057e-05
7,1.4277,1.4916,0.4099,0.2809,9.912322e-05
8,1.4012,1.4712,0.4142,0.2700,9.880788e-05
9,1.3687,1.4526,0.4347,0.2767,9.844487e-05
10,1.3404,1.4318,0.4338,0.2790,9.803454e-05
11,1.3084,1.4123,0.4428,0.3301,9.757730e-05
12,1.2766,1.3969,0.4482,0.2705,9.707360e-05
13,1.2405,1.3694,0.4576,0.3060,9.652394e-05
14,1.2042,1.3465,0.4562,0.2562,9.592885e-05
15,1.1721,1.3204,0.4395,0.2923,9.528894e-05
16,1.1376,1.2812,0.4327,0.2507,9.460482e-05
17,1.0841,1.2117,0.4244,0.2670,9.387718e-05
18,1.0148,1.1454,0.4595,0.3218,9.310673e-05
19,0.9392,1.0779,0.4960,0.3579,9.229423e-05
20,0.8734,1.0258,0.5129,0.3237,9.144049e-05
