epoch,train_loss,val_loss,train_dice,val_dice,lr
1,1.6664,1.6673,0.1048,0.0736,1.000000e-04
2,1.6208,1.6452,0.2125,0.0959,9.997557e-05
3,1.5902,1.6225,0.2451,0.1108,9.990232e-05
4,1.5610,1.5991,0.2939,0.1607,9.978032e-05
5,1.5379,1.5767,0.3202,0.1909,9.960968e-05
6,1.5115,1.5586,0.3471,0.1561,9.939057e-05
7,1.4861,1.5374,0.3651,0.1785,9.912322e-05
8,1.4592,1.5295,0.3854,0.1475,9.880788e-05
9,1.4331,1.4965,0.3968,0.2849,9.844487e-05
10,1.4049,1.4763,0.4022,0.2606,9.803454e-05
11,1.3794,1.4525,0.4124,0.2487,9.757730e-05
12,1.3477,1.4349,0.4221,0.2680,9.707360e-05
13,1.3152,1.4175,0.4197,0.2711,9.652394e-05
14,1.2864,1.3946,0.4148,0.2571,9.592885e-05
15,1.2589,1.3700,0.4015,0.2335,9.528894e-05
16,1.2237,1.3424,0.4059,0.2458,9.460482e-05
17,1.1779,1.2863,0.3968,0.2123,9.387718e-05
18,1.1210,1.2428,0.4108,0.2671,9.310673e-05
19,1.0722,1.1857,0.4303,0.3036,9.229423e-05
20,1.0093,1.1276,0.4557,0.3463,9.144049e-05
21,0.9487,1.0653,0.4751,0.3863,9.054634e-05
22,0.8839,1.0157,0.4964,0.4038,8.961267e-05
23,0.8283,0.9806,0.5122,0.3792,8.864041e-05
24,0.7866,0.9374,0.5142,0.3774,8.763050e-05
