epoch,train_loss,val_loss,train_dice,val_dice,lr
1,1.5954,1.5809,0.0542,0.0150,1.000000e-04
2,1.4622,1.3681,0.0996,0.0713,9.997557e-05
3,1.3409,1.2827,0.1161,0.0848,9.990232e-05
4,1.2431,1.1931,0.1586,0.1498,9.978032e-05
5,1.1368,1.1264,0.2462,0.1633,9.960968e-05
6,1.0727,1.0783,0.2988,0.2402,9.939057e-05
7,1.0301,1.0466,0.3117,0.2660,9.912322e-05
8,0.9935,1.0208,0.3333,0.2973,9.880788e-05
9,0.9583,0.9949,0.3534,0.3173,9.844487e-05
10,0.9230,0.9746,0.3736,0.3417,9.803454e-05
11,0.8941,0.9506,0.3786,0.3281,9.757730e-05
12,0.8663,0.9297,0.3861,0.2832,9.707360e-05
13,0.8361,0.9060,0.4046,0.3915,9.652394e-05
14,0.8132,0.8824,0.4129,0.3949,9.592885e-05
15,0.7843,0.8644,0.4319,0.3979,9.528894e-05
16,0.7667,0.8512,0.4378,0.4259,9.460482e-05
17,0.7441,0.8242,0.4509,0.4145,9.387718e-05
18,0.7239,0.8125,0.4562,0.4239,9.310673e-05
19,0.7065,0.7940,0.4667,0.4562,9.229423e-05
20,0.6842,0.7704,0.4839,0.4405,9.144049e-05
21,0.6738,0.7577,0.4857,0.4143,9.054634e-05
22,0.6477,0.7358,0.5090,0.5060,8.961267e-05
23,0.6319,0.7090,0.5187,0.5055,8.864041e-05
24,0.6183,0.6883,0.5224,0.4928,8.763050e-05
25,0.6055,0.6722,0.5271,0.4899,8.658395e-05
26,0.5882,0.6539,0.5414,0.5218,8.550179e-05
27,0.5757,0.6410,0.5460,0.5142,8.438508e-05
28,0.5641,0.6212,0.5516,0.5333,8.323494e-05
29,0.5563,0.6079,0.5546,0.5243,8.205249e-05
30,0.5393,0.5953,0.5663,0.5195,8.083890e-05
31,0.5323,0.5905,0.5663,0.5300,7.959537e-05
32,0.5178,0.5681,0.5767,0.5529,7.832313e-05
33,0.5134,0.5626,0.5778,0.5404,7.702343e-05
34,0.5092,0.5768,0.5781,0.5267,7.569755e-05
35,0.4999,0.5356,0.5819,0.5599,7.434681e-05
36,0.4906,0.5377,0.5901,0.5390,7.297253e-05
37,0.4839,0.5302,0.5933,0.5568,7.157607e-05
38,0.4830,0.5163,0.5910,0.5561,7.015882e-05
39,0.4704,0.5107,0.6024,0.5592,6.872217e-05
40,0.4654,0.4974,0.6056,0.5710,6.726753e-05
41,0.4642,0.5044,0.6037,0.5613,6.579634e-05
42,0.4547,0.4955,0.6105,0.5633,6.431006e-05
43,0.4472,0.5164,0.6140,0.5395,6.281015e-05
44,0.4504,0.4886,0.6111,0.5649,6.129809e-05
45,0.4419,0.4849,0.6192,0.5715,5.977538e-05
