epoch,train_loss,val_loss,train_dice,val_dice,lr
1,1.6048,1.4941,0.0565,0.0464,1.000000e-04
2,1.4493,1.3568,0.0979,0.0859,9.997557e-05
3,1.3042,1.2460,0.1861,0.1639,9.990232e-05
4,1.1830,1.1657,0.2665,0.1949,9.978032e-05
5,1.1062,1.1060,0.2953,0.2348,9.960968e-05
6,1.0517,1.0635,0.3161,0.2846,9.939057e-05
7,1.0062,1.0336,0.3422,0.2698,9.912322e-05
8,0.9670,1.0072,0.3588,0.2679,9.880788e-05
9,0.9320,0.9797,0.3663,0.3289,9.844487e-05
10,0.8951,0.9541,0.3877,0.2994,9.803454e-05
11,0.8624,0.9267,0.4026,0.3521,9.757730e-05
12,0.8343,0.9017,0.4095,0.3854,9.707360e-05
13,0.8041,0.8791,0.4278,0.4001,9.652394e-05
14,0.7787,0.8578,0.4390,0.4211,9.592885e-05
15,0.7534,0.8389,0.4456,0.4087,9.528894e-05
16,0.7263,0.8244,0.4686,0.3768,9.460482e-05
17,0.7050,0.7884,0.4731,0.4498,9.387718e-05
18,0.6796,0.7649,0.4926,0.4632,9.310673e-05
19,0.6663,0.7456,0.4954,0.4607,9.229423e-05
20,0.6443,0.7257,0.5073,0.4921,9.144049e-05
21,0.6190,0.6954,0.5245,0.5080,9.054634e-05
22,0.6048,0.6802,0.5303,0.5027,8.961267e-05
23,0.5837,0.6636,0.5474,0.5213,8.864041e-05
24,0.5709,0.6393,0.5482,0.5321,8.763050e-05
25,0.5568,0.6235,0.5568,0.5259,8.658395e-05
26,0.5464,0.6014,0.5579,0.5273,8.550179e-05
27,0.5298,0.5841,0.5701,0.5341,8.438508e-05
28,0.5231,0.5895,0.5709,0.5223,8.323494e-05
29,0.5094,0.5682,0.5794,0.5397,8.205249e-05
30,0.5004,0.5495,0.5827,0.5508,8.083890e-05
31,0.4940,0.5423,0.5851,0.5397,7.959537e-05
32,0.4839,0.5293,0.5919,0.5525,7.832313e-05
33,0.4737,0.5317,0.5967,0.5386,7.702343e-05
34,0.4686,0.5232,0.6016,0.5437,7.569755e-05
35,0.4612,0.4993,0.6036,0.5691,7.434681e-05
36,0.4599,0.5017,0.6033,0.5609,7.297253e-05
37,0.4492,0.4955,0.6119,0.5592,7.157607e-05
38,0.4474,0.5005,0.6110,0.5518,7.015882e-05
39,0.4430,0.4895,0.6155,0.5620,6.872217e-05
40,0.4365,0.5001,0.6218,0.5445,6.726753e-05
41,0.4353,0.4764,0.6177,0.5684,6.579634e-05
42,0.4298,0.4764,0.6251,0.5660,6.431006e-05
43,0.4263,0.4795,0.6269,0.5618,6.281015e-05
44,0.4201,0.4740,0.6322,0.5668,6.129809e-05
45,0.4187,0.4655,0.6324,0.5724,5.977538e-05
46,0.4196,0.4655,0.6302,0.5697,5.824351e-05
47,0.4109,0.4733,0.6386,0.5616,5.670400e-05
48,0.4121,0.4811,0.6358,0.5505,5.515836e-05
49,0.4044,0.4621,0.6449,0.5692,5.360813e-05
50,0.3999,0.4608,0.6497,0.5707,5.205483e-05
51,0.4030,0.4617,0.6454,0.5695,5.050000e-05
52,0.3997,0.4551,0.6470,0.5760,4.894517e-05
53,0.3902,0.4671,0.6542,0.5619,4.739187e-05
54,0.3908,0.4522,0.6543,0.5774,4.584164e-05
55,0.3911,0.4555,0.6542,0.5732,4.429600e-05
56,0.3871,0.4466,0.6553,0.5825,4.275649e-05
57,0.3843,0.4503,0.6593,0.5774,4.122462e-05
58,0.3855,0.4491,0.6571,0.5779,3.970191e-05
59,0.3774,0.4608,0.6666,0.5646,3.818985e-05
60,0.3781,0.4510,0.6649,0.5750,3.668994e-05
61,0.3754,0.4388,0.6671,0.5884,3.520366e-05
62,0.3739,0.4371,0.6696,0.5906,3.373247e-05
63,0.3704,0.4380,0.6702,0.5877,3.227783e-05
64,0.3694,0.4397,0.6719,0.5867,3.084118e-05
65,0.3662,0.4361,0.6758,0.5896,2.942393e-05
66,0.3647,0.4365,0.6775,0.5881,2.802747e-05
67,0.3636,0.4468,0.6781,0.5786,2.665319e-05
68,0.3606,0.4444,0.6812,0.5805,2.530245e-05
69,0.3606,0.4379,0.6801,0.5868,2.397657e-05
70,0.3570,0.4383,0.6846,0.5867,2.267687e-05
71,0.3599,0.4344,0.6809,0.5905,2.140463e-05
72,0.3563,0.4326,0.6827,0.5920,2.016110e-05
73,0.3521,0.4383,0.6872,0.5856,1.894751e-05
74,0.3517,0.4350,0.6887,0.5893,1.776506e-05
75,0.3495,0.4343,0.6890,0.5889,1.661492e-05
76,0.3499,0.4477,0.6919,0.5747,1.549821e-05
77,0.3492,0.4340,0.6907,0.5896,1.441605e-05
78,0.3489,0.4317,0.6901,0.5924,1.336950e-05
79,0.3459,0.4320,0.6928,0.5923,1.235959e-05
80,0.3441,0.4328,0.6972,0.5905,1.138733e-05
81,0.3448,0.4316,0.6946,0.5915,1.045366e-05
82,0.3447,0.4351,0.6954,0.5886,9.559512e-06
83,0.3443,0.4345,0.6959,0.5890,8.705768e-06
84,0.3418,0.4383,0.6983,0.5843,7.893270e-06
85,0.3404,0.4334,0.6976,0.5899,7.122819e-06
86,0.3389,0.4314,0.6990,0.5919,6.395177e-06
87,0.3403,0.4299,0.6995,0.5933,5.711061e-06
88,0.3376,0.4323,0.7016,0.5909,5.071146e-06
89,0.3402,0.4318,0.6988,0.5912,4.476064e-06
90,0.3394,0.4321,0.6984,0.5912,3.926402e-06
91,0.3362,0.4302,0.7027,0.5932,3.422702e-06
92,0.3396,0.4319,0.7000,0.5912,2.965463e-06
93,0.3358,0.4312,0.7035,0.5917,2.555134e-06
94,0.3369,0.4316,0.7033,0.5917,2.192120e-06
95,0.3380,0.4321,0.7018,0.5909,1.876781e-06
96,0.3386,0.4302,0.7024,0.5934,1.609427e-06
97,0.3410,0.4317,0.6981,0.5912,1.390322e-06
98,0.3389,0.4305,0.6991,0.5928,1.219683e-06
99,0.3325,0.4317,0.7048,0.5914,1.097677e-06
100,0.3365,0.4309,0.7024,0.5926,1.024425e-06
