epoch,train_loss,val_loss,train_dice,val_dice,lr
1,1.6509,1.6404,0.1453,0.0969,1.000000e-04
2,1.5959,1.6170,0.2215,0.1151,9.997557e-05
3,1.5656,1.5942,0.2498,0.1324,9.990232e-05
4,1.5406,1.5734,0.2824,0.1589,9.978032e-05
5,1.5176,1.5542,0.3077,0.1762,9.960968e-05
6,1.4953,1.5362,0.3312,0.2099,9.939057e-05
7,1.4714,1.5190,0.3554,0.2126,9.912322e-05
8,1.4505,1.4991,0.3632,0.2373,9.880788e-05
9,1.4281,1.4813,0.3829,0.2414,9.844487e-05
10,1.4066,1.4625,0.3856,0.2832,9.803454e-05
11,1.3772,1.4441,0.4117,0.3106,9.757730e-05
12,1.3547,1.4244,0.4068,0.3039,9.707360e-05
13,1.3272,1.4075,0.4159,0.3031,9.652394e-05
14,1.3029,1.3910,0.4146,0.2246,9.592885e-05
15,1.2823,1.3668,0.4097,0.2473,9.528894e-05
16,1.2544,1.3540,0.4092,0.2620,9.460482e-05
17,1.2273,1.3362,0.4087,0.2581,9.387718e-05
18,1.1993,1.3129,0.4062,0.2765,9.310673e-05
19,1.1701,1.2824,0.3978,0.2151,9.229423e-05
20,1.1280,1.2318,0.3911,0.2918,9.144049e-05
21,1.0768,1.1873,0.4316,0.2770,9.054634e-05
22,1.0306,1.1403,0.4418,0.3401,8.961267e-05
23,0.9689,1.0777,0.4649,0.3672,8.864041e-05
24,0.9072,1.0271,0.4897,0.4108,8.763050e-05
25,0.8594,0.9889,0.4955,0.3715,8.658395e-05
26,0.8154,0.9514,0.5059,0.3516,8.550179e-05
27,0.7738,0.9258,0.5204,0.4188,8.438508e-05
28,0.7382,0.8956,0.5289,0.4390,8.323494e-05
29,0.7097,0.8731,0.5369,0.4395,8.205249e-05
30,0.6805,0.8457,0.5449,0.4180,8.083890e-05
31,0.6536,0.8183,0.5512,0.4152,7.959537e-05
32,0.6269,0.7838,0.5597,0.4409,7.832313e-05
33,0.6041,0.7587,0.5667,0.4701,7.702343e-05
34,0.5797,0.7374,0.5785,0.4818,7.569755e-05
