epoch,train_loss,val_loss,train_dice,val_dice,lr
1,1.6650,1.6404,0.1122,0.0820,1.000000e-04
2,1.6033,1.6122,0.2049,0.1256,9.997557e-05
3,1.5721,1.5921,0.2186,0.1316,9.990232e-05
4,1.5471,1.5745,0.2398,0.1269,9.978032e-05
5,1.5258,1.5551,0.2616,0.1515,9.960968e-05
6,1.5046,1.5397,0.2818,0.1616,9.939057e-05
7,1.4855,1.5271,0.2901,0.1248,9.912322e-05
8,1.4682,1.5073,0.3097,0.2202,9.880788e-05
9,1.4459,1.4895,0.3368,0.2176,9.844487e-05
10,1.4285,1.4742,0.3585,0.2600,9.803454e-05
11,1.4065,1.4577,0.3631,0.2483,9.757730e-05
12,1.3844,1.4474,0.3853,0.2973,9.707360e-05
13,1.3628,1.4242,0.3790,0.2968,9.652394e-05
14,1.3431,1.4112,0.3905,0.2927,9.592885e-05
15,1.3200,1.3930,0.3977,0.2872,9.528894e-05
16,1.2978,1.3770,0.4043,0.3214,9.460482e-05
17,1.2824,1.3636,0.3990,0.2885,9.387718e-05
18,1.2596,1.3488,0.4044,0.2792,9.310673e-05
19,1.2336,1.3219,0.4150,0.3138,9.229423e-05
20,1.2104,1.3088,0.4185,0.2980,9.144049e-05
21,1.1876,1.2966,0.4118,0.2744,9.054634e-05
22,1.1666,1.2753,0.3939,0.2104,8.961267e-05
23,1.1346,1.2278,0.3759,0.2164,8.864041e-05
24,1.0836,1.1750,0.3811,0.3061,8.763050e-05
25,1.0298,1.1312,0.4177,0.3005,8.658395e-05
26,0.9857,1.0819,0.4375,0.3795,8.550179e-05
27,0.9352,1.0386,0.4565,0.4006,8.438508e-05
28,0.8845,0.9943,0.4736,0.4113,8.323494e-05
29,0.8412,0.9612,0.4834,0.4065,8.205249e-05
30,0.8048,0.9352,0.4934,0.3600,8.083890e-05
31,0.7721,0.9135,0.4995,0.4361,7.959537e-05
32,0.7430,0.8763,0.5068,0.4092,7.832313e-05
33,0.7101,0.8613,0.5177,0.4441,7.702343e-05
34,0.6857,0.8330,0.5284,0.4162,7.569755e-05
35,0.6623,0.8080,0.5332,0.4656,7.434681e-05
36,0.6381,0.7817,0.5453,0.4619,7.297253e-05
37,0.6180,0.7582,0.5507,0.4921,7.157607e-05
38,0.5963,0.7382,0.5613,0.4708,7.015882e-05
39,0.5754,0.7104,0.5701,0.4989,6.872217e-05
