epoch,train_loss,val_loss,train_dice,val_dice,lr
1,1.6298,1.6432,0.1459,0.0902,1.000000e-04
2,1.5776,1.6167,0.2766,0.1552,9.997557e-05
3,1.5420,1.5894,0.3527,0.1943,9.990232e-05
4,1.5109,1.5661,0.3893,0.2229,9.978032e-05
5,1.4795,1.5464,0.4179,0.2081,9.960968e-05
6,1.4462,1.5214,0.4362,0.2493,9.939057e-05
7,1.4144,1.4950,0.4457,0.2788,9.912322e-05
8,1.3764,1.4745,0.4568,0.2367,9.880788e-05
9,1.3376,1.4487,0.4653,0.2862,9.844487e-05
10,1.3044,1.4259,0.4631,0.2829,9.803454e-05
11,1.2657,1.4035,0.4659,0.2786,9.757730e-05
12,1.2269,1.3893,0.4648,0.2858,9.707360e-05
13,1.1901,1.3463,0.4580,0.2230,9.652394e-05
14,1.1446,1.3307,0.4535,0.2346,9.592885e-05
15,1.1036,1.2860,0.4457,0.2141,9.528894e-05
16,1.0392,1.2142,0.4427,0.1839,9.460482e-05
17,0.9585,1.1065,0.4712,0.3183,9.387718e-05
18,0.8796,1.0405,0.5114,0.3761,9.310673e-05
19,0.8141,0.9905,0.5395,0.4080,9.229423e-05
