epoch,train_loss,val_loss,train_dice,val_dice,lr
1,1.7194,1.6778,0.0307,0.0324,1.000000e-04
2,1.6608,1.6594,0.0507,0.0610,9.997557e-05
3,1.6417,1.6440,0.0964,0.1316,9.990232e-05
4,1.6243,1.6272,0.1520,0.1765,9.978032e-05
5,1.6081,1.6117,0.1857,0.1824,9.960968e-05
6,1.5958,1.5993,0.1868,0.2327,9.939057e-05
7,1.5796,1.5890,0.2208,0.2321,9.912322e-05
8,1.5640,1.5740,0.2447,0.2556,9.880788e-05
9,1.5515,1.5640,0.2489,0.1949,9.844487e-05
10,1.5384,1.5485,0.2692,0.2952,9.803454e-05
11,1.5269,1.5383,0.2795,0.2973,9.757730e-05
12,1.5137,1.5269,0.2864,0.2763,9.707360e-05
13,1.5024,1.5153,0.2935,0.2966,9.652394e-05
14,1.4912,1.5052,0.3006,0.3027,9.592885e-05
15,1.4799,1.4936,0.3064,0.2665,9.528894e-05
16,1.4664,1.4829,0.3141,0.3288,9.460482e-05
17,1.4565,1.4708,0.3189,0.3133,9.387718e-05
18,1.4477,1.4625,0.3173,0.2555,9.310673e-05
19,1.4351,1.4525,0.3309,0.3345,9.229423e-05
20,1.4240,1.4398,0.3273,0.3424,9.144049e-05
21,1.4153,1.4323,0.3222,0.3541,9.054634e-05
22,1.4020,1.4186,0.3437,0.3762,8.961267e-05
23,1.3929,1.4104,0.3423,0.3385,8.864041e-05
24,1.3810,1.3969,0.3429,0.3681,8.763050e-05
25,1.3696,1.3895,0.3508,0.3724,8.658395e-05
26,1.3592,1.3793,0.3621,0.3696,8.550179e-05
27,1.3526,1.3698,0.3592,0.3980,8.438508e-05
28,1.3384,1.3627,0.3685,0.3611,8.323494e-05
29,1.3279,1.3519,0.3713,0.4155,8.205249e-05
30,1.3186,1.3420,0.3715,0.3926,8.083890e-05
31,1.3069,1.3320,0.3776,0.3478,7.959537e-05
32,1.2981,1.3308,0.3817,0.4068,7.832313e-05
33,1.2887,1.3180,0.3827,0.4220,7.702343e-05
34,1.2792,1.3101,0.3758,0.3327,7.569755e-05
35,1.2664,1.2958,0.3883,0.3962,7.434681e-05
36,1.2616,1.2872,0.3933,0.4314,7.297253e-05
37,1.2518,1.2754,0.3915,0.3979,7.157607e-05
38,1.2422,1.2687,0.3914,0.4162,7.015882e-05
39,1.2285,1.2636,0.3978,0.4385,6.872217e-05
40,1.2214,1.2501,0.3885,0.3697,6.726753e-05
41,1.2099,1.2373,0.3654,0.3498,6.579634e-05
42,1.2002,1.2269,0.3326,0.3141,6.431006e-05
43,1.1761,1.2038,0.3159,0.3392,6.281015e-05
44,1.1552,1.1872,0.3445,0.3532,6.129809e-05
45,1.1358,1.1678,0.3619,0.3708,5.977538e-05
46,1.1146,1.1487,0.3828,0.3973,5.824351e-05
47,1.0988,1.1299,0.3978,0.4278,5.670400e-05
48,1.0768,1.1063,0.4154,0.4227,5.515836e-05
49,1.0548,1.0892,0.4402,0.4621,5.360813e-05
50,1.0315,1.0717,0.4604,0.4809,5.205483e-05
51,1.0124,1.0513,0.4668,0.4657,5.050000e-05
52,0.9934,1.0386,0.4696,0.4734,4.894517e-05
53,0.9787,1.0240,0.4743,0.5040,4.739187e-05
54,0.9618,1.0072,0.4828,0.4700,4.584164e-05
55,0.9490,0.9967,0.4853,0.4872,4.429600e-05
56,0.9351,0.9853,0.4907,0.4980,4.275649e-05
57,0.9231,0.9740,0.4992,0.5034,4.122462e-05
58,0.9102,0.9629,0.5024,0.5002,3.970191e-05
59,0.9004,0.9542,0.5032,0.4971,3.818985e-05
60,0.8895,0.9474,0.5033,0.5218,3.668994e-05
61,0.8786,0.9363,0.5072,0.4801,3.520366e-05
62,0.8671,0.9279,0.5150,0.5054,3.373247e-05
63,0.8576,0.9192,0.5205,0.5047,3.227783e-05
64,0.8513,0.9097,0.5156,0.4794,3.084118e-05
65,0.8404,0.9056,0.5187,0.5176,2.942393e-05
66,0.8329,0.8942,0.5242,0.5007,2.802747e-05
67,0.8242,0.8908,0.5265,0.5211,2.665319e-05
68,0.8183,0.8820,0.5305,0.5167,2.530245e-05
69,0.8090,0.8754,0.5344,0.5100,2.397657e-05
70,0.8043,0.8715,0.5368,0.5074,2.267687e-05
71,0.7981,0.8670,0.5323,0.5174,2.140463e-05
72,0.7910,0.8616,0.5383,0.5104,2.016110e-05
73,0.7863,0.8541,0.5399,0.5195,1.894751e-05
74,0.7827,0.8527,0.5394,0.5166,1.776506e-05
75,0.7767,0.8469,0.5421,0.5182,1.661492e-05
76,0.7723,0.8417,0.5431,0.5107,1.549821e-05
77,0.7690,0.8387,0.5418,0.5135,1.441605e-05
78,0.7662,0.8355,0.5444,0.5157,1.336950e-05
79,0.7615,0.8324,0.5427,0.5223,1.235959e-05
80,0.7565,0.8308,0.5504,0.5243,1.138733e-05
81,0.7548,0.8269,0.5541,0.5153,1.045366e-05
82,0.7496,0.8252,0.5503,0.5290,9.559512e-06
83,0.7470,0.8231,0.5564,0.5282,8.705768e-06
84,0.7448,0.8220,0.5544,0.5293,7.893270e-06
85,0.7429,0.8195,0.5582,0.5255,7.122819e-06
86,0.7414,0.8175,0.5570,0.5291,6.395177e-06
87,0.7389,0.8154,0.5579,0.5166,5.711061e-06
88,0.7365,0.8142,0.5564,0.5224,5.071146e-06
89,0.7364,0.8134,0.5572,0.5235,4.476064e-06
90,0.7358,0.8127,0.5588,0.5267,3.926402e-06
91,0.7334,0.8106,0.5620,0.5190,3.422702e-06
92,0.7316,0.8110,0.5622,0.5261,2.965463e-06
93,0.7297,0.8098,0.5647,0.5236,2.555134e-06
94,0.7311,0.8094,0.5616,0.5256,2.192120e-06
95,0.7278,0.8088,0.5643,0.5268,1.876781e-06
96,0.7290,0.8088,0.5635,0.5267,1.609427e-06
97,0.7281,0.8093,0.5632,0.5304,1.390322e-06
98,0.7288,0.8078,0.5608,0.5248,1.219683e-06
99,0.7284,0.8080,0.5627,0.5269,1.097677e-06
100,0.7260,0.8078,0.5656,0.5277,1.024425e-06
