epoch,train_loss,val_loss,train_dice,val_dice,lr
1,1.5804,1.5862,0.2468,0.1195,1.000000e-04
2,1.5177,1.5599,0.3545,0.1340,9.997557e-05
3,1.4811,1.5334,0.3916,0.1846,9.990232e-05
4,1.4496,1.5088,0.4205,0.2293,9.978032e-05
5,1.4192,1.4862,0.4377,0.2526,9.960968e-05
6,1.3883,1.4654,0.4536,0.2787,9.939057e-05
7,1.3577,1.4412,0.4548,0.2822,9.912322e-05
8,1.3188,1.4171,0.4791,0.3059,9.880788e-05
9,1.2788,1.3912,0.4884,0.3144,9.844487e-05
10,1.2413,1.3725,0.4922,0.3096,9.803454e-05
11,1.2020,1.3528,0.4897,0.2334,9.757730e-05
12,1.1608,1.3202,0.4873,0.2985,9.707360e-05
13,1.1204,1.3130,0.4887,0.2565,9.652394e-05
14,1.0782,1.2735,0.4757,0.2691,9.592885e-05
15,1.0221,1.1930,0.4663,0.1886,9.528894e-05
16,0.9437,1.0996,0.4925,0.3350,9.460482e-05
17,0.8606,1.0309,0.5289,0.3851,9.387718e-05
18,0.7902,0.9767,0.5519,0.3995,9.310673e-05
19,0.7322,0.9328,0.5647,0.4133,9.229423e-05
